COUNTRY,CUSTOMER_NBR,MATERIAL_NBR,MONTH_YEAR,QUANTITY,UNIT
IN42,1045,1-00S493-L84-140-140,2022-01,0.0,EA
IN42,1045,1-00S493-L84-140-140,2022-02,48.0,EA
IN42,1045,1-00S493-L84-140-140,2022-03,96.0,EA
IN42,1045,1-00S493-L84-140-140,2022-04,0.0,EA
IN42,1045,1-00S507-L84-240-140,2019-01,864.0,EA
IN42,1045,1-00S507-L84-240-140,2019-02,288.0,EA
IN42,1045,1-00S507-L84-240-140,2019-03,416.0,EA
IN42,1045,1-00S507-L84-240-140,2019-04,480.0,EA
IN42,1045,1-00S507-L84-240-140,2019-05,352.0,EA
IN42,1045,1-00S507-L84-240-140,2019-06,768.0,EA
IN42,1045,1-00S507-L84-240-140,2019-07,512.0,EA
IN42,1045,1-00S507-L84-240-140,2019-08,768.0,EA
IN42,1045,1-00S507-L84-240-140,2019-09,0.0,EA
IN42,1045,1-00S507-L84-240-140,2019-10,0.0,EA
IN42,1045,1-00S507-L84-240-140,2019-11,736.0,EA
IN42,1045,1-00S507-L84-240-140,2019-12,640.0,EA
IN42,1045,1-00S507-L84-240-140,2020-01,416.0,EA
IN42,1045,1-00S507-L84-240-140,2020-02,384.0,EA
IN42,1045,1-00S507-L84-240-140,2020-03,192.0,EA
IN42,1045,1-00S507-L84-240-140,2020-04,0.0,EA
IN42,1045,1-00S507-L84-240-140,2020-05,160.0,EA
IN42,1045,1-00S507-L84-240-140,2020-06,32.0,EA
IN42,1045,1-00S507-L84-240-140,2020-07,160.0,EA
IN42,1045,1-00S507-L84-240-140,2020-08,32.0,EA
IN42,1045,1-00S507-L84-240-140,2020-09,64.0,EA
IN42,1045,1-00S507-L84-240-140,2020-10,0.0,EA
IN42,1045,1-00S507-L84-240-140,2020-11,32.0,EA
IN42,1045,1-00S507-L84-240-140,2020-12,0.0,EA
IN42,1045,1-00S507-L84-240-140,2021-01,160.0,EA
IN42,1045,1-00S507-L84-240-140,2021-02,96.0,EA
IN42,1045,1-00S507-L84-240-140,2021-03,0.0,EA
IN42,1045,1-00S507-L84-240-140,2021-04,448.0,EA
IN42,1045,1-00S507-L84-240-140,2021-05,0.0,EA
IN42,1045,1-00S507-L84-240-140,2021-06,96.0,EA
IN42,1045,1-00S507-L84-240-140,2021-07,0.0,EA
IN42,1045,1-00S507-L84-240-140,2021-08,256.0,EA
IN42,1045,1-00S507-L84-240-140,2021-09,3.0,EA
IN42,1045,1-00S507-L84-240-140,2021-10,0.0,EA
IN42,1045,1-00S507-L84-240-140,2021-11,480.0,EA
IN42,1045,1-00S507-L84-240-140,2021-12,160.0,EA
IN42,1045,1-00S507-L84-240-140,2022-01,128.0,EA
IN42,1045,1-00S507-L84-240-140,2022-02,32.0,EA
IN42,1045,1-00S507-L84-240-140,2022-03,224.0,EA
IN42,1045,1-00S507-L84-240-140,2022-04,0.0,EA
IN42,1045,1-00S734-L84-240-140,2019-01,224.0,EA
IN42,1045,1-00S734-L84-240-140,2019-02,96.0,EA
IN42,1045,1-00S734-L84-240-140,2019-03,192.0,EA
IN42,1045,1-00S734-L84-240-140,2019-04,128.0,EA
IN42,1045,1-00S734-L84-240-140,2019-05,192.0,EA
IN42,1045,1-00S734-L84-240-140,2019-06,32.0,EA
IN42,1045,1-00S734-L84-240-140,2019-07,512.0,EA
IN42,1045,1-00S734-L84-240-140,2019-08,288.0,EA
IN42,1045,1-00S734-L84-240-140,2019-09,0.0,EA
IN42,1045,1-00S734-L84-240-140,2019-10,0.0,EA
IN42,1045,1-00S734-L84-240-140,2019-11,0.0,EA
IN42,1045,1-00S734-L84-240-140,2019-12,32.0,EA
IN42,1045,1-00S734-L84-240-140,2020-01,0.0,EA
IN42,1045,1-00S734-L84-240-140,2020-02,128.0,EA
IN42,1045,1-00S734-L84-240-140,2020-03,192.0,EA
IN42,1045,1-00S734-L84-240-140,2020-04,0.0,EA
IN42,1045,1-00S734-L84-240-140,2020-05,448.0,EA
IN42,1045,1-00S734-L84-240-140,2020-06,64.0,EA
IN42,1045,1-00S734-L84-240-140,2020-07,96.0,EA
IN42,1045,1-00S734-L84-240-140,2020-08,128.0,EA
IN42,1045,1-00S734-L84-240-140,2020-09,64.0,EA
IN42,1045,1-00S734-L84-240-140,2020-10,128.0,EA
IN42,1045,1-00S734-L84-240-140,2020-11,0.0,EA
IN42,1045,1-00S734-L84-240-140,2020-12,0.0,EA
IN42,1045,1-00S734-L84-240-140,2021-01,160.0,EA
IN42,1045,1-00S734-L84-240-140,2021-02,0.0,EA
IN42,1045,1-00S734-L84-240-140,2021-03,64.0,EA
IN42,1045,1-00S734-L84-240-140,2021-04,96.0,EA
IN42,1045,1-00S734-L84-240-140,2021-05,96.0,EA
IN42,1045,1-00S734-L84-240-140,2021-06,160.0,EA
IN42,1045,1-00S734-L84-240-140,2021-07,0.0,EA
IN42,1045,1-00S734-L84-240-140,2021-08,96.0,EA
IN42,1045,1-00S734-L84-240-140,2021-09,32.0,EA
IN42,1045,1-00S734-L84-240-140,2021-10,40.0,EA
IN42,1045,1-00S734-L84-240-140,2021-11,32.0,EA
IN42,1045,1-00S734-L84-240-140,2021-12,32.0,EA
IN42,1045,1-00S734-L84-240-140,2022-01,224.0,EA
IN42,1045,1-00S734-L84-240-140,2022-02,128.0,EA
IN42,1045,1-00S734-L84-240-140,2022-03,64.0,EA
IN42,1045,1-00S734-L84-240-140,2022-04,0.0,EA
IN42,1045,1-00S764-L84-220-120,2020-10,36.0,EA
IN42,1045,1-00S764-L84-220-120,2020-11,0.0,EA
IN42,1045,1-00S764-L84-220-120,2020-12,0.0,EA
IN42,1045,1-00S764-L84-220-120,2021-01,36.0,EA
IN42,1045,1-00S764-L84-220-120,2021-02,0.0,EA
IN42,1045,1-00S764-L84-220-120,2021-03,0.0,EA
IN42,1045,1-00S764-L84-220-120,2021-04,0.0,EA
IN42,1045,1-00S764-L84-220-120,2021-05,0.0,EA
IN42,1045,1-00S764-L84-220-120,2021-06,0.0,EA
IN42,1045,1-00S764-L84-220-120,2021-07,0.0,EA
IN42,1045,1-00S764-L84-220-120,2021-08,0.0,EA
